year,name,location,address,city,state,country,material,size,style,image,key_name,lat,lon,geolink,visible,iframe,table,has_image,comissions,notes
1972,Cruciform,Equitable Life,10 South Broadway,St. Louis,MO,USA,Chrome,6 Feet,ribbed,,cruciform,38.624754,-90.189978,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=10+South+Broadway+St.+Louis,+Missouri&sll=38.639936,-90.22522&sspn=0.290153,0.517044&g=St.+Louis,+Missouri&ie=UTF8&hq=&hnear=10+S+Broadway,+St+Louis,+Missouri+63102&ll=38.624595,-90.189632&spn=0.001142,0.00202&t=k&z=19",n,,,?,commission,"taken down, in lobby of E."
1974,Cruciform,Dartmouth College Hood Museum of Art ,,Hanover,NH,USA,Brass,4 Feet,topological,,cruciform-dartmouth,43.701656,-72.287545,"http://maps.google.com/maps?num=100&hl=en&q=hood+museum+address&ie=UTF8&hq=Hood+Museum+of+Art&hnear=Hood+Museum+of+Art,+6068+Blunt+Alumni+Center,+Hanover,+New+Hampshire+03755-3548&ll=43.701747,-72.287451&spn=0.001001,0.00202&t=h&z=19",n,,,,collector,"http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=128H107K40777.20309&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!2869~!7&ri=2&aspect=Browse&menu=search&ipp=20&spp=20&staffonly=&term=Perry,+Charles+O.,+1929-+,+sculptor.&index=AUTHOR&uindex=&aspect=Browse&menu=search&ri=2"
1979,Cube Octa,Taubman Corporation,Stoneridge Mall,Pleasanton,CA,USA,Aluminum,20 feet,ribbed,,cube-octa,37.695269,-121.928855,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Stoneridge+Mall,+Pleasanton,+CA&sll=37.0625,-95.677068&sspn=36.231745,69.609375&ie=UTF8&hq=&hnear=Stoneridge+Mall,+Pleasanton,+California&ll=37.694913,-121.928689&spn=0.002212,0.004249&t=h&z=18",n,,,n,commission
1975,D<sub>2</sub>d,Dartmouth College,Fayerweather Hill Rd,Hanover,NH,USA,Bronze,10 feet,topological,D2D,d2d,43.705399,-72.286941,"http://maps.google.com/maps?ll=43.705399,-72.286941&spn=0.00046,0.002199&t=h&z=19&lci=com.panoramio.all&layer=c&cbll=43.705326,-72.286814&panoid=aH7dQVITGje6KdSj2RY9jQ&cbp=12,60.83,,0,0.72",y,,y,???,commission
1976,Da Vinci,Homart Corporation,,Northbrook,IL,USA,Steel,24 Feet,planar,davinci,davinci,,,,,,,???,commission,destroyed
2007,Daniela,Carter Residence,,Westport,CT,USA,Bronze,2 Feet,topological,daniela,daniela,,,,,,,y,collector
1968,Dodeca,Manufacters Hanover Bank,,New York,NY,USA,Aluminum,3 feet,planar,,dodeca,,,,,,,???,commission
1984,Double Helix,Merritt 7 Building # 3,,Norwalk,CT,USA,Stainless Steel,20 feet,ribbed,,double-helix,,,,,,,y,commission
1992,Double Knot,Interstate North Associates,,Atlanta,GA,USA,Bronze,3 Feet,topological,,double-knot-2,,,,,,y,y,commission
1992,Double Knot,The O'Connor Group,,White Plains,NY,USA,Bronze,6 Feet,topological,,double-knot-6,,,,,,y,y,commission
